Source: https://docs.google.com/spreadsheets/d/1YP4mxT_vxiFwXU5ZuBM4obq_oscfhe05ODWwHFHEznM/		
Leung et al. 2020, Nasal vs Throat, Human Coronavirus	Leung et al. 2020, Nasal vs Throat, Influenza	Leung et al. 2020, Nasal vs Throat, Rhinovirus
2.20	2.26	3.90
3.86	2.75	4.61
3.27	0.51	1.19
3.41	-0.28	2.12
2.60	1.61	0.52
1.21	4.77	1.96
3.67	4.34	3.40
4.95	-1.64	4.04
-0.44	4.05	4.90
4.97	2.67	3.57
2.91	3.32	4.52
	0.15	3.95
	0.95	0.76
	3.33	0.64
	1.79	2.89
	5.65	2.57
	3.41	3.40
	-1.44	2.57
	3.04	3.27
	2.26	2.29
	3.56	2.16
	2.76	-0.57
	0.54	5.73
	0.68	4.87
	1.53	3.21
	2.91	2.91
	2.01	2.96
	1.78	3.73
	3.11	-2.89
	2.47	1.92
	2.16	2.69
	1.22	2.77
	2.15	3.58
		2.10
		2.89
		1.74
		-1.93