Season	Group	Subgroup	Type	Week Start Date	Week End Date	MMWR Week	Percent	Last updated
2018-2019	Total	Total	ILI	1/6/19	1/12/19	1	3.20163039905332	3/7/24
2018-2019	Total	Total	ILI	1/13/19	1/19/19	2	2.90329622353198	3/7/24
2018-2019	Total	Total	ILI	1/20/19	1/26/19	3	3.03269003544703	3/7/24
2018-2019	Total	Total	ILI	1/27/19	2/2/19	4	3.16342616920652	3/7/24
2018-2019	Total	Total	ILI	2/3/19	2/9/19	5	3.203464972317	3/7/24
2018-2019	Total	Total	ILI	2/10/19	2/16/19	6	3.47898586425134	3/7/24
2018-2019	Total	Total	ILI	2/17/19	2/23/19	7	2.92797473089232	3/7/24
2018-2019	Total	Total	ILI	2/24/19	3/2/19	8	3.20874549115935	3/7/24
2018-2019	Total	Total	ILI	3/3/19	3/9/19	9	2.44277518187733	3/7/24
2018-2019	Total	Total	ILI	3/10/19	3/16/19	10	2.32792459959277	3/7/24
2018-2019	Total	Total	ILI	3/17/19	3/23/19	11	2.404	3/7/24
2018-2019	Total	Total	ILI	3/24/19	3/30/19	12	2.23867231807056	3/7/24
2018-2019	Total	Total	ILI	3/31/19	4/6/19	13	2.37729177076527	3/7/24
2018-2019	Total	Total	ILI	4/7/19	4/13/19	14	2.31118289493924	3/7/24
2018-2019	Total	Total	ILI	4/14/19	4/20/19	15	2.18194280491984	3/7/24
2018-2019	Total	Total	ILI	4/21/19	4/27/19	16	1.91585760517799	3/7/24
2018-2019	Total	Total	ILI	4/28/19	5/4/19	17	1.40274938880205	3/7/24
2018-2019	Total	Total	ILI	5/5/19	5/11/19	18	1.32287994813824	3/7/24
2018-2019	Total	Total	ILI	5/12/19	5/18/19	19	1.11936501475527	3/7/24
2018-2019	Total	Total	ILI	5/19/19	5/25/19	20	1.23729653804842	3/7/24
2018-2019	Total	Total	ILI	5/26/19	6/1/19	21	1.09883594537441	3/7/24
2018-2019	Total	Total	ILI	6/2/19	6/8/19	22	1.34337036017014	3/7/24
2018-2019	Total	Total	ILI	6/9/19	6/15/19	23	1.0053720523829	3/7/24
2018-2019	Total	Total	ILI	6/16/19	6/22/19	24	0.858032622661643	3/7/24
2018-2019	Total	Total	ILI	6/23/19	6/29/19	25	0.825837216863553	3/7/24
2019-2020	Total	Total	ILI	6/30/19	7/6/19	26	0.839302192731907	3/7/24
2019-2020	Total	Total	ILI	7/7/19	7/13/19	27	0.774005478350464	3/7/24
2019-2020	Total	Total	ILI	7/14/19	7/20/19	28	0.636237296968644	3/7/24
2019-2020	Total	Total	ILI	7/21/19	7/27/19	29	0.671474757523004	3/7/24
2019-2020	Total	Total	ILI	7/28/19	8/3/19	30	0.583388191496606	3/7/24
2019-2020	Total	Total	ILI	8/4/19	8/10/19	31	0.57855722292533	3/7/24
2019-2020	Total	Total	ILI	8/11/19	8/17/19	32	0.628014926731592	3/7/24
2019-2020	Total	Total	ILI	8/18/19	8/24/19	33	0.529819630969109	3/7/24
2019-2020	Total	Total	ILI	8/25/19	8/31/19	34	0.594401566639788	3/7/24
2019-2020	Total	Total	ILI	9/1/19	9/7/19	35	0.705132551359414	3/7/24
2019-2020	Total	Total	ILI	9/8/19	9/14/19	36	0.784087355990091	3/7/24
2019-2020	Total	Total	ILI	9/15/19	9/21/19	37	0.878328402366864	3/7/24
2019-2020	Total	Total	ILI	9/22/19	9/28/19	38	0.973301791145657	3/7/24
2019-2020	Total	Total	ILI	9/29/19	10/5/19	39	1.08571043226111	3/7/24
2019-2020	Total	Total	ILI	9/29/19	10/5/19	40	0.934374894777602	3/7/24
2019-2020	Total	Total	ILI	10/6/19	10/12/19	41	1.01670174485708	3/7/24
2019-2020	Total	Total	ILI	10/13/19	10/19/19	42	1.05407118316155	3/7/24
2019-2020	Total	Total	ILI	10/20/19	10/26/19	43	0.989778231358637	3/7/24
2019-2020	Total	Total	ILI	10/27/19	11/2/19	44	1.06684227856437	3/7/24
2019-2020	Total	Total	ILI	11/3/19	11/9/19	45	1.2226762664591	3/7/24
2019-2020	Total	Total	ILI	11/10/19	11/16/19	46	1.46428691926178	3/7/24
2019-2020	Total	Total	ILI	11/17/19	11/23/19	47	1.43740188383046	3/7/24
2019-2020	Total	Total	ILI	11/24/19	11/30/19	48	1.91388512706126	3/7/24
2019-2020	Total	Total	ILI	12/1/19	12/7/19	49	1.88156207768807	3/7/24
2019-2020	Total	Total	ILI	12/8/19	12/14/19	50	1.7812570909916	3/7/24
2019-2020	Total	Total	ILI	12/15/19	12/21/19	51	2.3520329387545	3/7/24
2019-2020	Total	Total	ILI	12/22/19	12/28/19	52	3.58007439626838	3/7/24
2019-2020	Total	Total	ILI	1/5/20	1/11/20	1	3.92322030253065	3/7/24
2019-2020	Total	Total	ILI	1/12/20	1/18/20	2	3.36739506366923	3/7/24
2019-2020	Total	Total	ILI	1/19/20	1/25/20	3	4.15403615134164	3/7/24
2019-2020	Total	Total	ILI	1/26/20	2/1/20	4	5.0204951631415	3/7/24
2019-2020	Total	Total	ILI	2/2/20	2/8/20	5	5.54626078974253	3/7/24
2019-2020	Total	Total	ILI	2/9/20	2/15/20	6	6.26648267402637	3/7/24
2019-2020	Total	Total	ILI	2/16/20	2/22/20	7	5.26224520360065	3/7/24
2019-2020	Total	Total	ILI	2/23/20	2/29/20	8	4.74369866893231	3/7/24
2019-2020	Total	Total	ILI	3/1/20	3/7/20	9	3.61769503886383	3/7/24
2019-2020	Total	Total	ILI	3/8/20	3/14/20	10	3.53062292204614	3/7/24
2019-2020	Total	Total	ILI	3/15/20	3/21/20	11	4.59862471036699	3/7/24
2019-2020	Total	Total	ILI	3/22/20	3/28/20	12	6.61411925976696	3/7/24
2019-2020	Total	Total	ILI	3/29/20	4/4/20	13	5.48371004259565	3/7/24
2019-2020	Total	Total	ILI	4/5/20	4/11/20	14	5.15333810104749	3/7/24
2019-2020	Total	Total	ILI	4/12/20	4/18/20	15	4.29839391377853	3/7/24
2019-2020	Total	Total	ILI	4/19/20	4/25/20	16	3.72025709785894	3/7/24
2019-2020	Total	Total	ILI	4/26/20	5/2/20	17	2.90563637809047	3/7/24
2019-2020	Total	Total	ILI	5/3/20	5/9/20	18	2.4116847826087	3/7/24
2019-2020	Total	Total	ILI	5/10/20	5/16/20	19	1.92216160802548	3/7/24
2019-2020	Total	Total	ILI	5/17/20	5/23/20	20	1.72892209178228	3/7/24
2019-2020	Total	Total	ILI	5/24/20	5/30/20	21	1.2833605664488	3/7/24
2019-2020	Total	Total	ILI	5/31/20	6/6/20	22	1.00107138074193	3/7/24
2019-2020	Total	Total	ILI	6/7/20	6/13/20	23	0.971115537848606	3/7/24
2019-2020	Total	Total	ILI	6/14/20	6/20/20	24	0.826263836765587	3/7/24
2019-2020	Total	Total	ILI	6/21/20	6/27/20	25	0.705580500320718	3/7/24
2020-2021	Total	Total	ILI	6/28/20	7/4/20	26	0.726951365528251	3/7/24
2020-2021	Total	Total	ILI	7/5/20	7/11/20	27	0.606550748079256	3/7/24
2020-2021	Total	Total	ILI	7/12/20	7/18/20	28	0.626837950781613	3/7/24
2020-2021	Total	Total	ILI	7/19/20	7/25/20	29	0.619460112812248	3/7/24
2020-2021	Total	Total	ILI	7/26/20	8/1/20	30	0.557166267490231	3/7/24
2020-2021	Total	Total	ILI	8/2/20	8/8/20	31	0.650521391677224	3/7/24
2020-2021	Total	Total	ILI	8/9/20	8/15/20	32	0.659873847646773	3/7/24
2020-2021	Total	Total	ILI	8/16/20	8/22/20	33	0.77745622210232	3/7/24
2020-2021	Total	Total	ILI	8/23/20	8/29/20	34	0.759419725440561	3/7/24
2020-2021	Total	Total	ILI	8/30/20	9/5/20	35	0.696923338432772	3/7/24
2020-2021	Total	Total	ILI	9/6/20	9/12/20	36	0.691788663435072	3/7/24
2020-2021	Total	Total	ILI	9/13/20	9/19/20	37	0.72702573520163	3/7/24
2020-2021	Total	Total	ILI	9/20/20	9/26/20	38	0.714880282034961	3/7/24
2020-2021	Total	Total	ILI	9/27/20	10/3/20	39	0.726302527236345	3/7/24
2020-2021	Total	Total	ILI	9/27/20	10/3/20	40	0.679010453388921	3/7/24
2020-2021	Total	Total	ILI	10/4/20	10/10/20	41	0.725077233421264	3/7/24
2020-2021	Total	Total	ILI	10/11/20	10/17/20	42	0.605576037548676	3/7/24
2020-2021	Total	Total	ILI	10/18/20	10/24/20	43	0.673385524460842	3/7/24
2020-2021	Total	Total	ILI	10/25/20	10/31/20	44	0.788989217147366	3/7/24
2020-2021	Total	Total	ILI	11/1/20	11/7/20	45	0.956103745179864	3/7/24
2020-2021	Total	Total	ILI	11/8/20	11/14/20	46	0.968860427692155	3/7/24
2020-2021	Total	Total	ILI	11/15/20	11/21/20	47	0.968751639358596	3/7/24
2020-2021	Total	Total	ILI	11/22/20	11/28/20	48	1.17232365638243	3/7/24
2020-2021	Total	Total	ILI	11/29/20	12/5/20	49	1.08425842929049	3/7/24
2020-2021	Total	Total	ILI	12/6/20	12/12/20	50	1.04216346068924	3/7/24
2020-2021	Total	Total	ILI	12/13/20	12/19/20	51	1.05279455023998	3/7/24
2020-2021	Total	Total	ILI	12/20/20	12/26/20	52	1.0890930241887	3/7/24
2020-2021	Total	Total	ILI	12/27/20	1/2/21	53	1.09387660608867	3/7/24
2020-2021	Total	Total	ILI	1/3/21	1/9/21	1	0.985937971024773	3/7/24
2020-2021	Total	Total	ILI	1/10/21	1/16/21	2	0.767566167902787	3/7/24
2020-2021	Total	Total	ILI	1/17/21	1/23/21	3	0.749042363560511	3/7/24
2020-2021	Total	Total	ILI	1/24/21	1/30/21	4	0.742177934334206	3/7/24
2020-2021	Total	Total	ILI	1/31/21	2/6/21	5	0.563536333766333	3/7/24
2020-2021	Total	Total	ILI	2/7/21	2/13/21	6	0.524770294591266	3/7/24
2020-2021	Total	Total	ILI	2/14/21	2/20/21	7	0.510013927303399	3/7/24
2020-2021	Total	Total	ILI	2/21/21	2/27/21	8	0.464412623579495	3/7/24
2020-2021	Total	Total	ILI	2/28/21	3/6/21	9	0.504117256597478	3/7/24
2020-2021	Total	Total	ILI	3/7/21	3/13/21	10	0.54392644710754	3/7/24
2020-2021	Total	Total	ILI	3/14/21	3/20/21	11	0.533104943018947	3/7/24
2020-2021	Total	Total	ILI	3/21/21	3/27/21	12	0.544761213001634	3/7/24
2020-2021	Total	Total	ILI	3/28/21	4/3/21	13	0.610527380972459	3/7/24
2020-2021	Total	Total	ILI	4/4/21	4/10/21	14	0.629132695641009	3/7/24
2020-2021	Total	Total	ILI	4/11/21	4/17/21	15	0.540242557883131	3/7/24
2020-2021	Total	Total	ILI	4/18/21	4/24/21	16	0.525292152201739	3/7/24
2020-2021	Total	Total	ILI	4/25/21	5/1/21	17	0.511637396613149	3/7/24
2020-2021	Total	Total	ILI	5/2/21	5/8/21	18	0.53814895586551	3/7/24
2020-2021	Total	Total	ILI	5/9/21	5/15/21	19	0.591780142832799	3/7/24
2020-2021	Total	Total	ILI	5/16/21	5/22/21	20	0.601633003867641	3/7/24
2020-2021	Total	Total	ILI	5/23/21	5/29/21	21	0.589619084959435	3/7/24
2020-2021	Total	Total	ILI	5/30/21	6/5/21	22	0.720109969071199	3/7/24
2020-2021	Total	Total	ILI	6/6/21	6/12/21	23	0.698062839930907	3/7/24
2020-2021	Total	Total	ILI	6/13/21	6/19/21	24	0.781710278627983	3/7/24
2020-2021	Total	Total	ILI	6/20/21	6/26/21	25	0.796882017995045	3/7/24
2020-2021	Total	Total	ILI	6/27/21	7/3/21	26	0.727188446105486	3/7/24
2021-2022	Total	Total	ILI	7/4/21	7/10/21	27	0.857739319859615	3/7/24
2021-2022	Total	Total	ILI	7/11/21	7/17/21	28	0.790668984466999	3/7/24
2021-2022	Total	Total	ILI	7/18/21	7/24/21	29	0.853375773457544	3/7/24
2021-2022	Total	Total	ILI	7/25/21	7/31/21	30	0.990437158469945	3/7/24
2021-2022	Total	Total	ILI	8/1/21	8/7/21	31	1.0462280361399	3/7/24
2021-2022	Total	Total	ILI	8/8/21	8/14/21	32	1.04314195446127	3/7/24
2021-2022	Total	Total	ILI	8/15/21	8/21/21	33	1.03619037050395	3/7/24
2021-2022	Total	Total	ILI	8/22/21	8/28/21	34	1.01705898096888	3/7/24
2021-2022	Total	Total	ILI	8/29/21	9/4/21	35	1.0319801994043	3/7/24
2021-2022	Total	Total	ILI	9/5/21	9/11/21	36	1.25173066598853	3/7/24
2021-2022	Total	Total	ILI	9/12/21	9/18/21	37	1.18598816695064	3/7/24
2021-2022	Total	Total	ILI	9/19/21	9/25/21	38	1.31721742905204	3/7/24
2021-2022	Total	Total	ILI	9/26/21	10/2/21	39	1.39008113421759	3/7/24
2021-2022	Total	Total	ILI	10/3/21	10/9/21	40	1.26178739819974	3/7/24
2021-2022	Total	Total	ILI	10/10/21	10/16/21	41	1.2056414922657	3/7/24
2021-2022	Total	Total	ILI	10/17/21	10/23/21	42	1.12013140002962	3/7/24
2021-2022	Total	Total	ILI	10/24/21	10/30/21	43	1.08298631344068	3/7/24
2021-2022	Total	Total	ILI	10/31/21	11/6/21	44	1.20160028794108	3/7/24
2021-2022	Total	Total	ILI	11/7/21	11/13/21	45	1.42246718721728	3/7/24
2021-2022	Total	Total	ILI	11/14/21	11/20/21	46	1.57186552731562	3/7/24
2021-2022	Total	Total	ILI	11/21/21	11/27/21	47	2.00912948437701	3/7/24
2021-2022	Total	Total	ILI	11/28/21	12/4/21	48	2.5300263909086	3/7/24
2021-2022	Total	Total	ILI	12/5/21	12/11/21	49	2.86154615128291	3/7/24
2021-2022	Total	Total	ILI	12/12/21	12/18/21	50	2.82317157472695	3/7/24
2021-2022	Total	Total	ILI	12/19/21	12/25/21	51	3.45280951635624	3/7/24
2021-2022	Total	Total	ILI	12/26/21	1/1/22	52	4.38703695899532	3/7/24
2021-2022	Total	Total	ILI	1/2/22	1/8/22	1	3.19644777848258	3/7/24
2021-2022	Total	Total	ILI	1/9/22	1/15/22	2	1.94683817006717	3/7/24
2021-2022	Total	Total	ILI	1/16/22	1/22/22	3	1.20279814128265	3/7/24
2021-2022	Total	Total	ILI	1/23/22	1/29/22	4	0.839603678602558	3/7/24
2021-2022	Total	Total	ILI	1/30/22	2/5/22	5	0.741368354162254	3/7/24
2021-2022	Total	Total	ILI	2/6/22	2/12/22	6	0.531061481196252	3/7/24
2021-2022	Total	Total	ILI	2/13/22	2/19/22	7	0.505783883441288	3/7/24
2021-2022	Total	Total	ILI	2/20/22	2/26/22	8	0.633448232300446	3/7/24
2021-2022	Total	Total	ILI	2/27/22	3/5/22	9	0.627892625732798	3/7/24
2021-2022	Total	Total	ILI	3/6/22	3/12/22	10	1.01536219752283	3/7/24
2021-2022	Total	Total	ILI	3/13/22	3/19/22	11	1.20026505225746	3/7/24
2021-2022	Total	Total	ILI	3/20/22	3/26/22	12	1.54659386299938	3/7/24
2021-2022	Total	Total	ILI	3/27/22	4/2/22	13	2.12473709061253	3/7/24
2021-2022	Total	Total	ILI	4/3/22	4/9/22	14	2.84151938287277	3/7/24
2021-2022	Total	Total	ILI	4/10/22	4/16/22	15	3.43165098848728	3/7/24
2021-2022	Total	Total	ILI	4/17/22	4/23/22	16	3.30985060123892	3/7/24
2021-2022	Total	Total	ILI	4/24/22	4/30/22	17	2.82196348529573	3/7/24
2021-2022	Total	Total	ILI	5/1/22	5/7/22	18	3.2537931410204	3/7/24
2021-2022	Total	Total	ILI	5/8/22	5/14/22	19	3.37050378767813	3/7/24
2021-2022	Total	Total	ILI	5/15/22	5/21/22	20	2.62565123060127	3/7/24
2021-2022	Total	Total	ILI	5/22/22	5/28/22	21	2.04679197851797	3/7/24
2021-2022	Total	Total	ILI	5/29/22	6/4/22	22	1.61123609168845	3/7/24
2021-2022	Total	Total	ILI	6/5/22	6/11/22	23	1.34311905314458	3/7/24
2021-2022	Total	Total	ILI	6/12/22	6/18/22	24	1.20813690295979	3/7/24
2021-2022	Total	Total	ILI	6/19/22	6/25/22	25	1.0769367133487	3/7/24
2021-2022	Total	Total	ILI	6/26/22	7/2/22	26	1.00602453364303	3/7/24
2022-2023	Total	Total	ILI	7/3/22	7/9/22	27	0.982424515547544	3/7/24
2022-2023	Total	Total	ILI	7/10/22	7/16/22	28	0.754755247794405	3/7/24
2022-2023	Total	Total	ILI	7/17/22	7/23/22	29	0.817202404573982	3/7/24
2022-2023	Total	Total	ILI	7/24/22	7/30/22	30	0.815405968077724	3/7/24
2022-2023	Total	Total	ILI	7/31/22	8/6/22	31	0.773989312267658	3/7/24
2022-2023	Total	Total	ILI	8/7/22	8/13/22	32	0.803300676463728	3/7/24
2022-2023	Total	Total	ILI	8/14/22	8/20/22	33	0.819808509672833	3/7/24
2022-2023	Total	Total	ILI	8/21/22	8/27/22	34	0.817321903635826	3/7/24
2022-2023	Total	Total	ILI	8/28/22	9/3/22	35	0.766346239695247	3/7/24
2022-2023	Total	Total	ILI	9/4/22	9/10/22	36	0.912450041475002	3/7/24
2022-2023	Total	Total	ILI	9/11/22	9/17/22	37	1.13628528482976	3/7/24
2022-2023	Total	Total	ILI	9/18/22	9/24/22	38	1.20574372465198	3/7/24
2022-2023	Total	Total	ILI	9/25/22	10/1/22	39	1.36908481508834	3/7/24
2022-2023	Total	Total	ILI	10/2/22	10/8/22	40	1.58302416524616	3/7/24
2022-2023	Total	Total	ILI	10/9/22	10/15/22	41	1.72671020128647	3/7/24
2022-2023	Total	Total	ILI	10/16/22	10/22/22	42	1.68775355427416	3/7/24
2022-2023	Total	Total	ILI	10/23/22	10/29/22	43	2.07313423903286	3/7/24
2022-2023	Total	Total	ILI	10/30/22	11/5/22	44	2.64376959431005	3/7/24
2022-2023	Total	Total	ILI	11/6/22	11/12/22	45	2.65212075613656	3/7/24
2022-2023	Total	Total	ILI	11/13/22	11/19/22	46	2.77050530378455	3/7/24
2022-2023	Total	Total	ILI	11/20/22	11/26/22	47	4.58741900338322	3/7/24
2022-2023	Total	Total	ILI	11/27/22	12/3/22	48	6.31882781165233	3/7/24
2022-2023	Total	Total	ILI	12/4/22	12/10/22	49	7.89965021743241	3/7/24
2022-2023	Total	Total	ILI	12/11/22	12/17/22	50	8.72321845130573	3/7/24
2022-2023	Total	Total	ILI	12/18/22	12/24/22	51	8.89624443029917	3/7/24
2022-2023	Total	Total	ILI	12/25/22	12/31/22	52	7.95072788353863	3/7/24
2022-2023	Total	Total	ILI	1/1/23	1/7/23	1	4.71773936339861	3/7/24
2022-2023	Total	Total	ILI	1/8/23	1/14/23	2	2.75915923732674	3/7/24
2022-2023	Total	Total	ILI	1/15/23	1/21/23	3	2.12982735278929	3/7/24
2022-2023	Total	Total	ILI	1/22/23	1/28/23	4	1.90216306156406	3/7/24
2022-2023	Total	Total	ILI	1/29/23	2/4/23	5	1.70274406909369	3/7/24
2022-2023	Total	Total	ILI	2/5/23	2/11/23	6	1.72142562409738	3/7/24
2022-2023	Total	Total	ILI	2/12/23	2/18/23	7	1.86870618228171	3/7/24
2022-2023	Total	Total	ILI	2/19/23	2/25/23	8	1.642379613009	3/7/24
2022-2023	Total	Total	ILI	2/26/23	3/4/23	9	1.44467841245302	3/7/24
2022-2023	Total	Total	ILI	3/5/23	3/11/23	10	1.58898028463246	3/7/24
2022-2023	Total	Total	ILI	3/12/23	3/18/23	11	1.50897336159026	3/7/24
2022-2023	Total	Total	ILI	3/19/23	3/25/23	12	1.64735287434674	3/7/24
2022-2023	Total	Total	ILI	3/26/23	4/1/23	13	1.68380007089685	3/7/24
2022-2023	Total	Total	ILI	4/2/23	4/8/23	14	1.59206892602161	3/7/24
2022-2023	Total	Total	ILI	4/9/23	4/15/23	15	1.56299801407311	3/7/24
2022-2023	Total	Total	ILI	4/16/23	4/22/23	16	1.31584285617689	3/7/24
2022-2023	Total	Total	ILI	4/23/23	4/29/23	17	1.23866172922338	3/7/24
2022-2023	Total	Total	ILI	4/30/23	5/6/23	18	1.22149524333875	3/7/24
2022-2023	Total	Total	ILI	5/7/23	5/13/23	19	1.34974099564678	3/7/24
2022-2023	Total	Total	ILI	5/14/23	5/20/23	20	1.28767123287671	3/7/24
2022-2023	Total	Total	ILI	5/21/23	5/27/23	21	1.272334483	3/7/24
2022-2023	Total	Total	ILI	5/28/23	6/3/23	22	1.259740425	3/7/24
2022-2023	Total	Total	ILI	6/4/23	6/10/23	23	1.152327948	3/7/24
2022-2023	Total	Total	ILI	6/11/23	6/17/23	24	1.065236733	3/7/24
2022-2023	Total	Total	ILI	6/18/23	6/24/23	25	1.051049138	3/7/24
2022-2023	Total	Total	ILI	6/25/23	7/1/23	26	0.832834691	3/7/24
2022-2023	Total	Total	HOSP	5/21/23	5/27/23	21	0.16349	3/7/24
2022-2023	Total	Total	HOSP	5/28/23	6/3/23	22	0.10727969	3/7/24
2022-2023	Total	Total	HOSP	6/4/23	6/10/23	23	0.12141	3/7/24
2022-2023	Total	Total	HOSP	6/11/23	6/17/23	24	0.09486	3/7/24
2022-2023	Total	Total	HOSP	6/18/23	6/24/23	25	0.09854	3/7/24
2022-2023	Total	Total	HOSP	6/25/23	7/1/23	26	0.12753	3/7/24
2023-2024	Total	Total	ILI	7/2/23	7/8/23	27	0.79341913228075	3/7/24
2023-2024	Total	Total	ILI	7/9/23	7/15/23	28	0.77915663394456	3/7/24
2023-2024	Total	Total	ILI	7/16/23	7/22/23	29	0.74012546180358	3/7/24
2023-2024	Total	Total	ILI	7/23/23	7/29/23	30	0.76604092173222	3/7/24
2023-2024	Total	Total	ILI	7/30/23	8/5/23	31	0.75546025730528	3/7/24
2023-2024	Total	Total	ILI	8/6/23	8/12/23	32	0.82683675879991	3/7/24
2023-2024	Total	Total	ILI	8/13/23	8/19/23	33	0.76185172998557	3/7/24
2023-2024	Total	Total	ILI	8/20/23	8/26/23	34	0.87253123482971	3/7/24
2023-2024	Total	Total	ILI	8/27/23	9/2/23	35	0.81928809309747	3/7/24
2023-2024	Total	Total	ILI	9/3/23	9/9/23	36	0.96693659785322	3/7/24
2023-2024	Total	Total	ILI	9/10/23	9/16/23	37	1.03588379555632	3/7/24
2023-2024	Total	Total	ILI	9/17/23	9/23/23	38	1.20382305017145	3/7/24
2023-2024	Total	Total	ILI	9/24/23	9/30/23	39	1.28679688867769	3/7/24
2023-2024	Total	Total	ILI	10/1/23	10/7/23	40	1.34588602306278	3/7/24
2023-2024	Total	Total	ILI	10/8/23	10/14/23	41	1.29241453851372	3/7/24
2023-2024	Total	Total	ILI	10/15/23	10/21/23	42	1.47520580947923	3/7/24
2023-2024	Total	Total	ILI	10/22/23	10/28/23	43	1.42261001517451	3/7/24
2023-2024	Total	Total	ILI	10/29/23	11/4/23	44	1.72116840632983	3/7/24
2023-2024	Total	Total	ILI	11/5/23	11/11/23	45	1.8542544519329	3/7/24
2023-2024	Total	Total	ILI	11/12/23	11/18/23	46	2.05181608037901	3/7/24
2023-2024	Total	Total	ILI	11/19/23	11/25/23	47	2.51808896899407	3/7/24
2023-2024	Total	Total	ILI	11/26/23	12/2/23	48	2.72320154545255	3/7/24
2023-2024	Total	Total	ILI	12/3/23	12/9/23	49	3.0661006401138	3/7/24
2023-2024	Total	Total	ILI	12/10/23	12/16/23	50	3.90908589397032	3/7/24
2023-2024	Total	Total	ILI	12/17/23	12/23/23	51	5.03662268887335	3/7/24
2023-2024	Total	Total	ILI	12/24/23	12/30/23	52	6.44775390625	3/7/24
2023-2024	Total	Total	ILI	12/31/23	1/6/24	1	5.18626140524205	3/7/24
2023-2024	Total	Total	ILI	1/7/24	1/13/24	2	4.46419248929777	3/7/24
2023-2024	Total	Total	ILI	1/14/24	1/20/24	3	3.88749596604027	3/7/24
2023-2024	Total	Total	ILI	1/21/24	1/27/24	4	4.12555420964119	3/7/24
2023-2024	Total	Total	ILI	1/28/24	2/3/24	5	4.15904721714259	3/7/24
2023-2024	Total	Total	ILI	2/4/24	2/10/24	6	4.50561630843418	3/7/24
2023-2024	Total	Total	ILI	2/11/24	2/17/24	7	4.43597833204358	3/7/24
2023-2024	Total	Total	ILI	2/18/24	2/24/24	8	4.60087670829189	3/7/24
2023-2024	Total	Total	ILI	2/25/24	3/2/24	9	4.05133773855182	3/7/24