Source: https://docs.google.com/spreadsheets/d/1YP4mxT_vxiFwXU5ZuBM4obq_oscfhe05ODWwHFHEznM/edit#gid=645534562				
Patriquin2022	McCulloch2020	Pere2020	Kojima2020	Tu2020
-2.823181475	1.943577024	4.4	4.34	-0.232280704
-1.150515983	-5.730819175	16.46666667	0.04	-0.3122352695
0.09803674805	-4.024544948	-10.3	-5.25	-0.9418774728
0.7936068462	-2.290265843	2.4	-12.83	-1.366207774
3.448401712	-2.69778177	-5.366666667	-0.13	-2.688281897
4.097281651	-4.901463726	-9.5	-1.95	-3.865136954
-1.922980116	4.525292708	13.43333333	1.3	-7.960619204
-1.359929524	5.614528279	-9.3	-1.29	-12.64824116
-0.05461867606	6.982592228	-1.6	-4.8	-6.376281415
-1.245028945	2.006202609	-2.6	-5.08	-2.429476583
0.05776491316	2.811118022	3.333333333	-1.12	-1.329720571
1.615529826	3.773303944	-15.5	-5.67	-0.7332024024
2.256858797	-5.724492385	-4.9	-8.75	-0.3117276214
-0.2830354896	-4.5746224	-1.8	-1.52	-1.112352029
-4.58784294	-2.562478389	3.066666667	-0.25	-2.02932302
-4.654669016	-2.41272295	1.166666667	-12.67	-2.125014674
-5.313616914	0.1611243915	-2.9	-5.59	-2.693929481
-2.213189026	-5.588514575	-9.4	-3.97	-3.774490052
-3.484394664	-9.349775137	-6.45	-6.96	0.1005143109
-1.405235339	-5.138381134	-4.2	0.15	1.737933048
-1.030329726	-4.115464452	0.3	0.58	2.433410855
0.2308079537	-2.81053994	-7.566666667	-2.59	1.756113193
0.5539894286		0.8333333333	-15.68	-0.09623103062
4.699723131		16.23333333		-0.508314323
-1.25371256		-1.1		-0.03797841861
-1.993455827		4.3		1.929062533
-4.317518248		-2.5		4.148277645
-3.024792348		-1.933333333		3.396355722
-3.113138686		-7.2		2.974690573
-4.139441228		8.866666667		2.427255623
-0.7373521269				3.971203665
-0.7057639064				4.278362454
0.5819280141				5.075084317
-2.521016864				4.889412048
-3.209035993				9.014337884
-5.548200352				7.32748692
-6.402844198				4.712401524
-7.806569343				4.212812402
-8.849358168				5.047385771
-1.43657186				3.013874655
-0.2612635288				2.347237601
-0.5187515731				0.9922298123
-1.133526303				0.320230726
0.007676818525				0.1081607594
-1.351875157				-1.730476967
0.7222501888				-3.488715936
1.407752328				
-3.760634281				
-4.179713063				
-5.445884722				
-5.247671785				
-5.747545935				
-5.896551724				
-12.41920463				
-7.11464888				
-7.482003524				
-4.873898817				
-7.00981626				
-8.7316889				
-8.494336773				
-8.991693934				
-7.483136169				
-6.302793859				
-5.438082054				
-4.689403473				
-4.765164863				
-4.334633778				
-9.435942613				