RepWeekDate	TestType	PIV1pos	PIV2pos	PIV3pos	PIV4pos	PIVtest
3/6/2023	1	0	0	0	0	0
3/6/2023	4	3	6	19	2	260
10/6/2023	1	0	0	0	0	0
10/6/2023	4	1	7	17	2	276
17/6/2023	1	0	0	0	0	0
17/6/2023	4	2	10	18	1	259
24/6/2023	1	0	0	0	0	0
24/6/2023	4	1	2	7	1	222
1/7/2023	1	0	0	0	0	0
1/7/2023	4	2	4	7	3	222
8/7/2023	1	0	0	0	0	0
8/7/2023	4	1	6	6	4	229
15/7/2023	1	0	0	0	0	0
15/7/2023	4	3	3	3	3	206
22/7/2023	1	0	0	0	0	0
22/7/2023	4	0	4	7	2	163
29/7/2023	1	0	0	0	0	0
29/7/2023	4	2	3	2	1	201
5/8/2023	1	0	0	0	0	0
5/8/2023	4	3	2	2	2	236
12/8/2023	1	0	0	0	0	0
12/8/2023	4	0	2	5	3	235
19/8/2023	1	0	0	0	0	0
19/8/2023	4	3	5	3	5	262
26/8/2023	1	0	0	0	0	0
26/8/2023	4	3	0	1	3	218
2/9/2023	1	0	0	0	0	0
2/9/2023	4	4	3	3	5	219
9/9/2023	1	0	0	0	0	0
9/9/2023	4	0	2	1	4	253
16/9/2023	1	0	0	0	0	0
16/9/2023	4	4	5	2	4	239
23/9/2023	1	0	0	0	0	0
23/9/2023	4	4	1	2	3	304
30/9/2023	1	0	0	0	0	0
30/9/2023	4	6	3	2	3	326
7/10/2023	1	0	0	0	0	0
7/10/2023	4	11	2	0	3	343
14/10/2023	1	0	0	0	0	0
14/10/2023	4	8	2	1	7	319
21/10/2023	1	0	0	0	0	0
21/10/2023	4	9	0	0	8	373
28/10/2023	1	0	0	0	0	0
28/10/2023	4	8	1	3	8	366
4/11/2023	1	0	0	0	0	0
4/11/2023	4	16	3	1	12	381
11/11/2023	1	0	0	0	0	0
11/11/2023	4	7	2	5	8	401
18/11/2023	1	0	0	0	0	0
18/11/2023	4	13	1	0	8	442
25/11/2023	1	0	0	0	0	0
25/11/2023	4	4	1	1	7	353
2/12/2023	1	0	0	0	0	0
2/12/2023	4	3	0	0	4	426
9/12/2023	1	0	0	0	0	0
9/12/2023	4	1	1	3	6	416
16/12/2023	1	0	0	0	0	0
16/12/2023	4	4	0	0	5	432
23/12/2023	1	0	0	0	0	0
23/12/2023	4	1	0	2	3	427
30/12/2023	1	0	0	0	0	0
30/12/2023	4	5	1	1	0	380