Season	MMWR Week	Activity Type	Week Start Date	Week End Date	Indicator	Last updated
2018-2019	27	ILI	7/1/18	7/7/18	Minimal	3/7/24
2018-2019	28	ILI	7/8/18	7/14/18	Minimal	3/7/24
2018-2019	29	ILI	7/15/18	7/21/18	Minimal	3/7/24
2018-2019	30	ILI	7/22/18	7/28/18	Minimal	3/7/24
2018-2019	31	ILI	7/29/18	8/4/18	Minimal	3/7/24
2018-2019	32	ILI	8/5/18	8/11/18	Minimal	3/7/24
2018-2019	33	ILI	8/12/18	8/18/18	Minimal	3/7/24
2018-2019	34	ILI	8/19/18	8/25/18	Minimal	3/7/24
2018-2019	35	ILI	8/26/18	9/1/18	Minimal	3/7/24
2018-2019	36	ILI	9/2/18	9/8/18	Minimal	3/7/24
2018-2019	37	ILI	9/9/18	9/15/18	Minimal	3/7/24
2018-2019	38	ILI	9/16/18	9/22/18	Minimal	3/7/24
2018-2019	39	ILI	9/23/18	9/29/18	Minimal	3/7/24
2018-2019	40	ILI	9/30/18	10/6/18	Minimal	3/7/24
2018-2019	41	ILI	10/7/18	10/13/18	Minimal	3/7/24
2018-2019	42	ILI	10/14/18	10/20/18	Minimal	3/7/24
2018-2019	43	ILI	10/21/18	10/27/18	Minimal	3/7/24
2018-2019	44	ILI	10/28/18	11/3/18	Minimal	3/7/24
2018-2019	45	ILI	11/4/18	11/10/18	Minimal	3/7/24
2018-2019	46	ILI	11/11/18	11/17/18	Minimal	3/7/24
2018-2019	47	ILI	11/18/18	11/24/18	Minimal	3/7/24
2018-2019	48	ILI	11/25/18	12/1/18	Minimal	3/7/24
2018-2019	49	ILI	12/2/18	12/8/18	Minimal	3/7/24
2018-2019	50	ILI	12/9/18	12/15/18	Minimal	3/7/24
2018-2019	51	ILI	12/16/18	12/22/18	Low	3/7/24
2018-2019	52	ILI	12/23/18	12/29/18	High	3/7/24
2018-2019	1	ILI	12/30/18	1/5/19	Moderate	3/7/24
2018-2019	2	ILI	1/6/19	1/12/19	Moderate	3/7/24
2018-2019	3	ILI	1/13/19	1/19/19	Moderate	3/7/24
2018-2019	4	ILI	1/20/19	1/26/19	Moderate	3/7/24
2018-2019	5	ILI	1/27/19	2/2/19	Moderate	3/7/24
2018-2019	6	ILI	2/3/19	2/9/19	High	3/7/24
2018-2019	7	ILI	2/10/19	2/16/19	Moderate	3/7/24
2018-2019	8	ILI	2/17/19	2/23/19	Moderate	3/7/24
2018-2019	9	ILI	2/24/19	3/2/19	Low	3/7/24
2018-2019	10	ILI	3/3/19	3/9/19	Low	3/7/24
2018-2019	11	ILI	3/10/19	3/16/19	Low	3/7/24
2018-2019	12	ILI	3/17/19	3/23/19	Low	3/7/24
2018-2019	13	ILI	3/24/19	3/30/19	Low	3/7/24
2018-2019	14	ILI	3/31/19	4/6/19	Low	3/7/24
2018-2019	15	ILI	4/7/19	4/13/19	Low	3/7/24
2018-2019	16	ILI	4/14/19	4/20/19	Low	3/7/24
2018-2019	17	ILI	4/21/19	4/27/19	Minimal	3/7/24
2018-2019	18	ILI	4/28/19	5/4/19	Minimal	3/7/24
2018-2019	19	ILI	5/5/19	5/11/19	Minimal	3/7/24
2018-2019	20	ILI	5/12/19	5/18/19	Minimal	3/7/24
2018-2019	21	ILI	5/19/19	5/25/19	Minimal	3/7/24
2018-2019	22	ILI	5/26/19	6/1/19	Minimal	3/7/24
2018-2019	23	ILI	6/2/19	6/8/19	Minimal	3/7/24
2018-2019	24	ILI	6/9/19	6/15/19	Minimal	3/7/24
2018-2019	25	ILI	6/16/19	6/22/19	Minimal	3/7/24
2018-2019	26	ILI	6/23/19	6/29/19	Minimal	3/7/24
2019-2020	27	ILI	6/30/19	7/6/19	Minimal	3/7/24
2019-2020	28	ILI	7/7/19	7/13/19	Minimal	3/7/24
2019-2020	29	ILI	7/14/19	7/20/19	Minimal	3/7/24
2019-2020	30	ILI	7/21/19	7/27/19	Minimal	3/7/24
2019-2020	31	ILI	7/28/19	8/3/19	Minimal	3/7/24
2019-2020	32	ILI	8/4/19	8/10/19	Minimal	3/7/24
2019-2020	33	ILI	8/11/19	8/17/19	Minimal	3/7/24
2019-2020	34	ILI	8/18/19	8/24/19	Minimal	3/7/24
2019-2020	35	ILI	8/25/19	8/31/19	Minimal	3/7/24
2019-2020	36	ILI	9/1/19	9/7/19	Minimal	3/7/24
2019-2020	37	ILI	9/8/19	9/14/19	Minimal	3/7/24
2019-2020	38	ILI	9/15/19	9/21/19	Minimal	3/7/24
2019-2020	39	ILI	9/22/19	9/28/19	Minimal	3/7/24
2019-2020	40	ILI	9/29/19	10/5/19	Minimal	3/7/24
2019-2020	41	ILI	10/6/19	10/12/19	Minimal	3/7/24
2019-2020	42	ILI	10/13/19	10/19/19	Minimal	3/7/24
2019-2020	43	ILI	10/20/19	10/26/19	Minimal	3/7/24
2019-2020	44	ILI	10/27/19	11/2/19	Minimal	3/7/24
2019-2020	45	ILI	11/3/19	11/9/19	Minimal	3/7/24
2019-2020	46	ILI	11/10/19	11/16/19	Minimal	3/7/24
2019-2020	47	ILI	11/17/19	11/23/19	Minimal	3/7/24
2019-2020	48	ILI	11/24/19	11/30/19	Low	3/7/24
2019-2020	49	ILI	12/1/19	12/7/19	Low	3/7/24
2019-2020	50	ILI	12/8/19	12/14/19	Minimal	3/7/24
2019-2020	51	ILI	12/15/19	12/21/19	Low	3/7/24
2019-2020	52	ILI	12/22/19	12/28/19	High	3/7/24
2019-2020	1	ILI	12/29/19	1/4/20	High	3/7/24
2019-2020	2	ILI	1/5/20	1/11/20	High	3/7/24
2019-2020	3	ILI	1/12/20	1/18/20	High	3/7/24
2019-2020	4	ILI	1/19/20	1/25/20	High	3/7/24
2019-2020	5	ILI	1/26/20	2/1/20	Very High	3/7/24
2019-2020	6	ILI	2/2/20	2/8/20	Very High	3/7/24
2019-2020	7	ILI	2/9/20	2/15/20	Very High	3/7/24
2019-2020	8	ILI	2/16/20	2/22/20	High	3/7/24
2019-2020	9	ILI	2/23/20	2/29/20	High	3/7/24
2019-2020	10	ILI	3/1/20	3/7/20	High	3/7/24
2019-2020	11	ILI	3/8/20	3/14/20	High	3/7/24
2019-2020	12	ILI	3/15/20	3/21/20	Very High	3/7/24
2019-2020	13	ILI	3/22/20	3/28/20	Very High	3/7/24
2019-2020	14	ILI	3/29/20	4/4/20	High	3/7/24
2019-2020	15	ILI	4/5/20	4/11/20	High	3/7/24
2019-2020	16	ILI	4/12/20	4/18/20	High	3/7/24
2019-2020	17	ILI	4/19/20	4/25/20	Moderate	3/7/24
2019-2020	18	ILI	4/26/20	5/2/20	Low	3/7/24
2019-2020	19	ILI	5/3/20	5/9/20	Low	3/7/24
2019-2020	20	ILI	5/10/20	5/16/20	Minimal	3/7/24
2019-2020	21	ILI	5/17/20	5/23/20	Minimal	3/7/24
2019-2020	22	ILI	5/24/20	5/30/20	Minimal	3/7/24
2019-2020	23	ILI	5/31/20	6/6/20	Minimal	3/7/24
2019-2020	24	ILI	6/7/20	6/13/20	Minimal	3/7/24
2019-2020	25	ILI	6/14/20	6/20/20	Minimal	3/7/24
2019-2020	26	ILI	6/21/20	6/27/20	Minimal	3/7/24
2020-2021	27	ILI	6/28/20	7/4/20	Minimal	3/7/24
2020-2021	28	ILI	7/5/20	7/11/20	Minimal	3/7/24
2020-2021	29	ILI	7/12/20	7/18/20	Minimal	3/7/24
2020-2021	30	ILI	7/19/20	7/25/20	Minimal	3/7/24
2020-2021	31	ILI	7/26/20	8/1/20	Minimal	3/7/24
2020-2021	32	ILI	8/2/20	8/8/20	Minimal	3/7/24
2020-2021	33	ILI	8/9/20	8/15/20	Minimal	3/7/24
2020-2021	34	ILI	8/16/20	8/22/20	Minimal	3/7/24
2020-2021	35	ILI	8/23/20	8/29/20	Minimal	3/7/24
2020-2021	36	ILI	8/30/20	9/5/20	Minimal	3/7/24
2020-2021	37	ILI	9/6/20	9/12/20	Minimal	3/7/24
2020-2021	38	ILI	9/13/20	9/19/20	Minimal	3/7/24
2020-2021	39	ILI	9/20/20	9/26/20	Minimal	3/7/24
2020-2021	40	ILI	9/27/20	10/3/20	Minimal	3/7/24
2020-2021	41	ILI	10/4/20	10/10/20	Minimal	3/7/24
2020-2021	42	ILI	10/11/20	10/17/20	Minimal	3/7/24
2020-2021	43	ILI	10/18/20	10/24/20	Minimal	3/7/24
2020-2021	44	ILI	10/25/20	10/31/20	Minimal	3/7/24
2020-2021	45	ILI	11/1/20	11/7/20	Minimal	3/7/24
2020-2021	46	ILI	11/8/20	11/14/20	Minimal	3/7/24
2020-2021	47	ILI	11/15/20	11/21/20	Minimal	3/7/24
2020-2021	48	ILI	11/22/20	11/28/20	Minimal	3/7/24
2020-2021	49	ILI	11/29/20	12/5/20	Minimal	3/7/24
2020-2021	50	ILI	12/6/20	12/12/20	Minimal	3/7/24
2020-2021	51	ILI	12/13/20	12/19/20	Minimal	3/7/24
2020-2021	52	ILI	12/20/20	12/26/20	Minimal	3/7/24
2020-2021	53	ILI	12/27/20	1/2/21	Minimal	3/7/24
2020-2021	1	ILI	1/3/21	1/9/21	Minimal	3/7/24
2020-2021	2	ILI	1/10/21	1/16/21	Minimal	3/7/24
2020-2021	3	ILI	1/17/21	1/23/21	Minimal	3/7/24
2020-2021	4	ILI	1/24/21	1/30/21	Minimal	3/7/24
2020-2021	5	ILI	1/31/21	2/6/21	Minimal	3/7/24
2020-2021	6	ILI	2/7/21	2/13/21	Minimal	3/7/24
2020-2021	7	ILI	2/14/21	2/20/21	Minimal	3/7/24
2020-2021	8	ILI	2/21/21	2/27/21	Minimal	3/7/24
2020-2021	9	ILI	2/28/21	3/6/21	Minimal	3/7/24
2020-2021	10	ILI	3/7/21	3/13/21	Minimal	3/7/24
2020-2021	11	ILI	3/14/21	3/20/21	Minimal	3/7/24
2020-2021	12	ILI	3/21/21	3/27/21	Minimal	3/7/24
2020-2021	13	ILI	3/28/21	4/3/21	Minimal	3/7/24
2020-2021	14	ILI	4/4/21	4/10/21	Minimal	3/7/24
2020-2021	15	ILI	4/11/21	4/17/21	Minimal	3/7/24
2020-2021	16	ILI	4/18/21	4/24/21	Minimal	3/7/24
2020-2021	17	ILI	4/25/21	5/1/21	Minimal	3/7/24
2020-2021	18	ILI	5/2/21	5/8/21	Minimal	3/7/24
2020-2021	19	ILI	5/9/21	5/15/21	Minimal	3/7/24
2020-2021	20	ILI	5/16/21	5/22/21	Minimal	3/7/24
2020-2021	21	ILI	5/23/21	5/29/21	Minimal	3/7/24
2020-2021	22	ILI	5/30/21	6/5/21	Minimal	3/7/24
2020-2021	23	ILI	6/6/21	6/12/21	Minimal	3/7/24
2020-2021	24	ILI	6/13/21	6/19/21	Minimal	3/7/24
2020-2021	25	ILI	6/20/21	6/26/21	Minimal	3/7/24
2020-2021	26	ILI	6/27/21	7/3/21	Minimal	3/7/24
2021-2022	27	ILI	7/4/21	7/10/21	Minimal	3/7/24
2021-2022	28	ILI	7/11/21	7/17/21	Minimal	3/7/24
2021-2022	29	ILI	7/18/21	7/24/21	Minimal	3/7/24
2021-2022	30	ILI	7/25/21	7/31/21	Minimal	3/7/24
2021-2022	31	ILI	8/1/21	8/7/21	Minimal	3/7/24
2021-2022	32	ILI	8/8/21	8/14/21	Minimal	3/7/24
2021-2022	33	ILI	8/15/21	8/21/21	Minimal	3/7/24
2021-2022	34	ILI	8/22/21	8/28/21	Minimal	3/7/24
2021-2022	35	ILI	8/29/21	9/4/21	Minimal	3/7/24
2021-2022	36	ILI	9/5/21	9/11/21	Minimal	3/7/24
2021-2022	37	ILI	9/12/21	9/18/21	Minimal	3/7/24
2021-2022	38	ILI	9/19/21	9/25/21	Minimal	3/7/24
2021-2022	39	ILI	9/26/21	10/2/21	Minimal	3/7/24
2021-2022	40	ILI	10/3/21	10/9/21	Minimal	3/7/24
2021-2022	41	ILI	10/10/21	10/16/21	Minimal	3/7/24
2021-2022	42	ILI	10/17/21	10/23/21	Minimal	3/7/24
2021-2022	43	ILI	10/24/21	10/30/21	Minimal	3/7/24
2021-2022	44	ILI	10/31/21	11/6/21	Minimal	3/7/24
2021-2022	45	ILI	11/7/21	11/13/21	Minimal	3/7/24
2021-2022	46	ILI	11/14/21	11/20/21	Minimal	3/7/24
2021-2022	47	ILI	11/21/21	11/27/21	Low	3/7/24
2021-2022	48	ILI	11/28/21	12/4/21	Low	3/7/24
2021-2022	49	ILI	12/5/21	12/11/21	Moderate	3/7/24
2021-2022	50	ILI	12/12/21	12/18/21	Moderate	3/7/24
2021-2022	51	ILI	12/19/21	12/25/21	High	3/7/24
2021-2022	52	ILI	12/26/21	1/1/22	High	3/7/24
2021-2022	1	ILI	1/2/22	1/8/22	Moderate	3/7/24
2021-2022	2	ILI	1/9/22	1/15/22	Low	3/7/24
2021-2022	3	ILI	1/16/22	1/22/22	Minimal	3/7/24
2021-2022	4	ILI	1/23/22	1/29/22	Minimal	3/7/24
2021-2022	5	ILI	1/30/22	2/5/22	Minimal	3/7/24
2021-2022	6	ILI	2/6/22	2/12/22	Minimal	3/7/24
2021-2022	7	ILI	2/13/22	2/19/22	Minimal	3/7/24
2021-2022	8	ILI	2/20/22	2/26/22	Minimal	3/7/24
2021-2022	9	ILI	2/27/22	3/5/22	Minimal	3/7/24
2021-2022	10	ILI	3/6/22	3/12/22	Minimal	3/7/24
2021-2022	11	ILI	3/13/22	3/19/22	Minimal	3/7/24
2021-2022	12	ILI	3/20/22	3/26/22	Minimal	3/7/24
2021-2022	13	ILI	3/27/22	4/2/22	Low	3/7/24
2021-2022	14	ILI	4/3/22	4/9/22	Moderate	3/7/24
2021-2022	15	ILI	4/10/22	4/16/22	High	3/7/24
2021-2022	16	ILI	4/17/22	4/23/22	High	3/7/24
2021-2022	17	ILI	4/24/22	4/30/22	Moderate	3/7/24
2021-2022	18	ILI	5/1/22	5/7/22	High	3/7/24
2021-2022	19	ILI	5/8/22	5/14/22	High	3/7/24
2021-2022	20	ILI	5/15/22	5/21/22	Moderate	3/7/24
2021-2022	21	ILI	5/22/22	5/28/22	Low	3/7/24
2021-2022	22	ILI	5/29/22	6/4/22	Minimal	3/7/24
2021-2022	23	ILI	6/5/22	6/11/22	Minimal	3/7/24
2021-2022	24	ILI	6/12/22	6/18/22	Minimal	3/7/24
2021-2022	25	ILI	6/19/22	6/25/22	Minimal	3/7/24
2021-2022	26	ILI	6/26/22	7/2/22	Minimal	3/7/24
2022-2023	27	ILI	7/3/22	7/9/22	Minimal	3/7/24
2022-2023	28	ILI	7/10/22	7/16/22	Minimal	3/7/24
2022-2023	29	ILI	7/17/22	7/23/22	Minimal	3/7/24
2022-2023	30	ILI	7/24/22	7/30/22	Minimal	3/7/24
2022-2023	31	ILI	7/31/22	8/6/22	Minimal	3/7/24
2022-2023	32	ILI	8/7/22	8/13/22	Minimal	3/7/24
2022-2023	33	ILI	8/14/22	8/20/22	Minimal	3/7/24
2022-2023	34	ILI	8/21/22	8/27/22	Minimal	3/7/24
2022-2023	35	ILI	8/28/22	9/3/22	Minimal	3/7/24
2022-2023	36	ILI	9/4/22	9/10/22	Minimal	3/7/24
2022-2023	37	ILI	9/11/22	9/17/22	Minimal	3/7/24
2022-2023	38	ILI	9/18/22	9/24/22	Minimal	3/7/24
2022-2023	39	ILI	9/25/22	10/1/22	Minimal	3/7/24
2022-2023	40	ILI	10/2/22	10/8/22	Minimal	3/7/24
2022-2023	41	ILI	10/9/22	10/15/22	Minimal	3/7/24
2022-2023	42	ILI	10/16/22	10/22/22	Minimal	3/7/24
2022-2023	43	ILI	10/23/22	10/29/22	Low	3/7/24
2022-2023	44	ILI	10/30/22	11/5/22	Moderate	3/7/24
2022-2023	45	ILI	11/6/22	11/12/22	Moderate	3/7/24
2022-2023	46	ILI	11/13/22	11/19/22	Moderate	3/7/24
2022-2023	47	ILI	11/20/22	11/26/22	High	3/7/24
2022-2023	48	ILI	11/27/22	12/3/22	Very High	3/7/24
2022-2023	49	ILI	12/4/22	12/10/22	Very High	3/7/24
2022-2023	50	ILI	12/11/22	12/17/22	Very High	3/7/24
2022-2023	51	ILI	12/18/22	12/24/22	Very High	3/7/24
2022-2023	52	ILI	12/25/22	12/31/22	Very High	3/7/24
2022-2023	1	ILI	1/1/23	1/7/23	High	3/7/24
2022-2023	2	ILI	1/8/23	1/14/23	Moderate	3/7/24
2022-2023	3	ILI	1/15/23	1/21/23	Low	3/7/24
2022-2023	4	ILI	1/22/23	1/28/23	Minimal	3/7/24
2022-2023	5	ILI	1/29/23	2/4/23	Minimal	3/7/24
2022-2023	6	ILI	2/5/23	2/11/23	Minimal	3/7/24
2022-2023	7	ILI	2/12/23	2/18/23	Minimal	3/7/24
2022-2023	8	ILI	2/19/23	2/25/23	Minimal	3/7/24
2022-2023	9	ILI	2/26/23	3/4/23	Minimal	3/7/24
2022-2023	10	ILI	3/5/23	3/11/23	Minimal	3/7/24
2022-2023	11	ILI	3/12/23	3/18/23	Minimal	3/7/24
2022-2023	12	ILI	3/19/23	3/25/23	Minimal	3/7/24
2022-2023	13	ILI	3/26/23	4/1/23	Minimal	3/7/24
2022-2023	14	ILI	4/2/23	4/8/23	Minimal	3/7/24
2022-2023	15	ILI	4/9/23	4/15/23	Minimal	3/7/24
2022-2023	16	ILI	4/16/23	4/22/23	Minimal	3/7/24
2022-2023	17	ILI	4/23/23	4/29/23	Minimal	3/7/24
2022-2023	18	ILI	4/30/23	5/6/23	Minimal	3/7/24
2022-2023	19	ILI	5/7/23	5/13/23	Minimal	3/7/24
2022-2023	20	ILI	5/14/23	5/20/23	Minimal	3/7/24
2022-2023	21	ILI	5/21/23	5/27/23	Minimal	3/7/24
2022-2023	22	ILI	5/28/23	6/3/23	Minimal	3/7/24
2022-2023	23	ILI	6/4/23	6/10/23	Minimal	3/7/24
2022-2023	24	ILI	6/11/23	6/17/23	Minimal	3/7/24
2022-2023	25	ILI	6/18/23	6/24/23	Minimal	3/7/24
2022-2023	26	ILI	6/25/23	7/1/23	Minimal	3/7/24
2023-2024	27	ILI	7/2/23	7/8/23	Minimal	3/7/24
2023-2024	28	ILI	7/9/23	7/15/23	Minimal	3/7/24
2023-2024	29	ILI	7/16/23	7/22/23	Minimal	3/7/24
2023-2024	30	ILI	7/23/23	7/29/23	Minimal	3/7/24
2023-2024	31	ILI	7/30/23	8/5/23	Minimal	3/7/24
2023-2024	32	ILI	8/6/23	8/12/23	Minimal	3/7/24
2023-2024	33	ILI	8/13/23	8/19/23	Minimal	3/7/24
2023-2024	34	ILI	8/20/23	8/26/23	Minimal	3/7/24
2023-2024	35	ILI	8/27/23	9/2/23	Minimal	3/7/24
2023-2024	36	ILI	9/3/23	9/9/23	Minimal	3/7/24
2023-2024	37	ILI	9/10/23	9/16/23	Minimal	3/7/24
2023-2024	38	ILI	9/17/23	9/23/23	Minimal	3/7/24
2023-2024	39	ILI	9/24/23	9/30/23	Minimal	3/7/24
2023-2024	40	ILI	10/1/23	10/7/23	Minimal	3/7/24
2023-2024	41	ILI	10/8/23	10/14/23	Minimal	3/7/24
2023-2024	42	ILI	10/15/23	10/21/23	Minimal	3/7/24
2023-2024	43	ILI	10/22/23	10/28/23	Minimal	3/7/24
2023-2024	44	ILI	10/29/23	11/4/23	Minimal	3/7/24
2023-2024	45	ILI	11/5/23	11/11/23	Minimal	3/7/24
2023-2024	46	ILI	11/12/23	11/18/23	Minimal	3/7/24
2023-2024	47	ILI	11/19/23	11/25/23	Low	3/7/24
2023-2024	48	ILI	11/26/23	12/2/23	Low	3/7/24
2023-2024	49	ILI	12/3/23	12/9/23	Moderate	3/7/24
2023-2024	50	ILI	12/10/23	12/16/23	High	3/7/24
2023-2024	51	ILI	12/17/23	12/23/23	High	3/7/24
2023-2024	52	ILI	12/24/23	12/30/23	Very High	3/7/24
2023-2024	1	ILI	12/31/23	1/6/24	High	3/7/24
2023-2024	2	ILI	1/7/24	1/13/24	High	3/7/24
2023-2024	3	ILI	1/14/24	1/20/24	High	3/7/24
2023-2024	4	ILI	1/21/24	1/27/24	High	3/7/24
2023-2024	5	ILI	1/28/24	2/3/24	High	3/7/24
2023-2024	6	ILI	2/4/24	2/10/24	High	3/7/24
2023-2024	7	ILI	2/11/24	2/17/24	High	3/7/24
2023-2024	8	ILI	2/18/24	2/24/24	High	3/7/24
2023-2024	9	ILI	2/25/24	3/2/24	High	3/7/24
2023-2024	27	Influenza	7/2/23	7/8/23	Low	3/7/24
2023-2024	28	Influenza	7/9/23	7/15/23	Low	3/7/24
2023-2024	29	Influenza	7/16/23	7/22/23	Low	3/7/24
2023-2024	30	Influenza	7/23/23	7/29/23	Low	3/7/24
2023-2024	31	Influenza	7/30/23	8/5/23	Low	3/7/24
2023-2024	32	Influenza	8/6/23	8/12/23	Low	3/7/24
2023-2024	33	Influenza	8/13/23	8/19/23	Low	3/7/24
2023-2024	34	Influenza	8/20/23	8/26/23	Low	3/7/24
2023-2024	35	Influenza	8/27/23	9/2/23	Low	3/7/24
2023-2024	36	Influenza	9/3/23	9/9/23	Low	3/7/24
2023-2024	37	Influenza	9/10/23	9/16/23	Low	3/7/24
2023-2024	38	Influenza	9/17/23	9/23/23	Low	3/7/24
2023-2024	39	Influenza	9/24/23	9/30/23	Low	3/7/24
2023-2024	40	Influenza	10/1/23	10/7/23	Low	3/7/24
2023-2024	41	Influenza	10/8/23	10/14/23	Low	3/7/24
2023-2024	42	Influenza	10/15/23	10/21/23	Low	3/7/24
2023-2024	43	Influenza	10/22/23	10/28/23	Low	3/7/24
2023-2024	44	Influenza	10/29/23	11/4/23	Low	3/7/24
2023-2024	45	Influenza	11/5/23	11/11/23	Low	3/7/24
2023-2024	46	Influenza	11/12/23	11/18/23	Low	3/7/24
2023-2024	47	Influenza	11/19/23	11/25/23	Low	3/7/24
2023-2024	48	Influenza	11/26/23	12/2/23	Low	3/7/24
2023-2024	49	Influenza	12/3/23	12/9/23	Moderate	3/7/24
2023-2024	50	Influenza	12/10/23	12/16/23	Moderate	3/7/24
2023-2024	51	Influenza	12/17/23	12/23/23	High	3/7/24
2023-2024	52	Influenza	12/24/23	12/30/23	High	3/7/24
2023-2024	1	Influenza	12/31/23	1/6/24	High	3/7/24
2023-2024	2	Influenza	1/7/24	1/13/24	Moderate	3/7/24
2023-2024	3	Influenza	1/14/24	1/20/24	Moderate	3/7/24
2023-2024	4	Influenza	1/21/24	1/27/24	Moderate	3/7/24
2023-2024	5	Influenza	1/28/24	2/3/24	Moderate	3/7/24
2023-2024	6	Influenza	2/4/24	2/10/24	High	3/7/24
2023-2024	7	Influenza	2/11/24	2/17/24	Moderate	3/7/24
2023-2024	8	Influenza	2/18/24	2/24/24	High	3/7/24
2023-2024	9	Influenza	2/25/24	3/2/24	Moderate	3/7/24